Movie Title,Director,Year,Score,Cast,Consensus,Synopsis
Captain America: The Winter Soldier,Anthony Russo,2014,90,"Chris Evans, Scarlett Johansson, Samuel L. Jackson, Sebastian Stan","Suspenseful and politically astute, Captain America: The Winter Soldier is a superior entry in the Avengers canon and is sure to thrill Marvel diehards."," After the cataclysmic events in New York with his fellow Avengers, Steve Rogers, aka Captain America (Chris Evans), lives in..."
Oldboy,Park Chan-wook,2003,82,"Choi Min-sik, Yoo Ji-tae, Kang Hye-jung, Ji Dae-han","Violent and definitely not for the squeamish, Park Chan-Wook's visceral Oldboy is a strange, powerful tale of revenge."," Dae-Su is an obnoxious drunk bailed from the police station yet again by a friend. However, he's abducted from the..."
The French Connection,William Friedkin,1971,96,"Gene Hackman, Fernando Rey, Roy Scheider, Tony Lo Bianco","Realistic, fast-paced and uncommonly smart, The French Connection is bolstered by stellar performances by Gene Hackman and Roy Scheider, not to mention William Friedkin's thrilling production."," New York Detective ""Popeye"" Doyle (Gene Hackman) and his partner (Roy Scheider) chase a French heroin smuggler...."
Furious 7,James Wan,2015,81,"Vin Diesel, Paul Walker, Dwayne Johnson, Michelle Rodriguez","Serving up a fresh round of over-the-top thrills while adding unexpected dramatic heft, Furious 7 keeps the franchise moving in more ways than one."," After defeating international terrorist Owen Shaw, Dominic Toretto (Vin Diesel), Brian O'Conner (Paul Walker) and the rest of the crew..."
La Femme Nikita,Luc Besson,1990,89,"Anne Parillaud, Jean-Hugues Anglade, Tcheky Karyo, Jeanne Moreau",A zany out-of-control thriller that gives lead Anne Parillaud a big character arc and plenty of emotional room to work within.," Convicted felon Nikita (Anne Parillaud), instead of going to jail, is given a new identity and trained to be a..."
Supercop,Stanley Tong,1992,92,"Jackie Chan, Michelle Yeaoh, Maggie Cheung, Ken Tsang","Blending hand-to-hand combat with breathtaking stunts and slapstick comedy, Supercop reminds us why Jackie Chan is one of the world's great entertainers."," To infiltrate a drug cartel, police Inspector Chan Ka Kui (Jackie Chan) goes undercover in a Chinese prison. There, he..."
Dirty Harry,Don Siegel,1971,89,"Clint Eastwood, Harry Guardino, Reni Santoni, John Larch","As tough and taciturn as its no-nonsense hero, Dirty Harry delivers a deceptively layered message without sacrificing an ounce of its solid action impact.", Cop Harry Callahan (Clint Eastwood) attempts to track down a psychopathic rooftop killer before a kidnapped girl dies. When he...
Edge of Tomorrow,Doug Liman,2014,91,"Tom Cruise, Emily Blunt, Brendan Gleeson, Bill Paxton","Gripping, well-acted, funny, and clever, Edge of Tomorrow offers entertaining proof that Tom Cruise is still more than capable of shouldering the weight of a blockbuster action thriller."," When Earth falls under attack from invincible aliens, no military unit in the world is able to beat them. Maj...."
X2,Bryan Singer,2003,85,"Patrick Stewart, Hugh Jackman, Ian McKellen, Halle Berry","Tightly scripted, solidly acted, and impressively ambitious, X2: X-Men United is bigger and better than its predecessor -- and a benchmark for comic sequels in general."," Stryker (Brian Cox), a villianous former Army commander, holds the key to Wolverine's (Hugh Jackman) past and the future of..."
The Fugitive,Andrew Davis,1993,96,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore","Exhilarating and intense, this high-impact chase thriller is a model of taut and efficient formula filmmaking, and it features Harrison Ford at his frantic best."," Wrongfully accused of murdering his wife, Richard Kimble (Harrison Ford) escapes from the law in an attempt to find her..."
Black Panther,Ryan Coogler,2018,96,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.," After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place..."
Inception,Christopher Nolan,2010,87,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy","Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.", Dom Cobb (Leonardo DiCaprio) is a thief with the rare ability to enter people's dreams and steal their secrets from...
Braveheart,Mel Gibson,1995,75,"Mel Gibson, Sophie Marceau, Patrick McGoohan, Catherine McCormack","Distractingly violent and historically dodgy, Mel Gibson's Braveheart justifies its epic length by delivering enough sweeping action, drama, and romance to match its ambition.", Tells the story of the legendary thirteenth century Scottish hero named William Wallace (Mel Gibson). Wallace rallies the Scottish against...
Minority Report,Steven Spielberg,2002,90,"Tom Cruise, Colin Farrell, Samantha Morton, Max von Sydow","Thought-provoking and visceral, Steven Spielberg successfully combines high concept ideas and high octane action in this fast and febrile sci-fi thriller."," Based on a story by famed science fiction writer Philip K. Dick, ""Minority Report"" is an action-detective thriller set in..."
Avengers: Endgame,Anthony Russo,2019,94,"Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth","Exciting, entertaining, and emotionally impactful, Avengers: Endgame does whatever it takes to deliver a satisfying finale to Marvel's epic Infinity Saga."," Adrift in space with no food or water, Tony Stark sends a message to Pepper Potts as his oxygen supply..."
Dredd,Pete Travis,2012,79,"Karl Urban, Olivia Thirlby, Lena Headey, Wood Harris","Fueled by bombastic violence and impressive special effects, rooted in self-satire and deadpan humor, Dredd 3D does a remarkable job of capturing its source material's gritty spirit."," Mega City One is a vast, violent metropolis where felons rule the streets. The only law lies with cops called..."
The Bourne Identity,Doug Liman,2002,84,"Matt Damon, Franka Potente, Chris Cooper, Clive Owen","Expertly blending genre formula with bursts of unexpected wit, The Bourne Identity is an action thriller that delivers -- and then some."," The story of a man (Matt Damon), salvaged, near death, from the ocean by an Italian fishing boat. When he..."
Ip Man,Wilson Yip,2008,86,"Donnie Yen, Simon Yam, Siu-wong Fan, Ka Tung Lam","At once beholden to the established conventions of the genre and delightfully subversive of them, Ip Man is one of the most exciting -- and refreshingly character-driven -- martial arts films in years."," The life story of Yip Man, the first person to teach the Chinese martial art of Wing Chun...."
Face/Off,John Woo,1997,92,"John Travolta, Nicolas Cage, Joan Allen, Alessandro Nivola","John Travolta and Nicolas Cage play cat-and-mouse (and literally play each other) against a beautifully stylized backdrop of typically elegant, over-the-top John Woo violence."," Obsessed with bringing terrorist Castor Troy (Nicolas Cage) to justice, FBI agent Sean Archer (John Travolta) tracks down Troy, who..."
To Live and Die in L.A.,William Friedkin,1985,86,"William L. Petersen, Willem Dafoe, John Pankow, Debra Feuer","With coke fiends, car chases, and Wang Chung galore, To Live and Die in L.A. is perhaps the ultimate '80s action/thriller."," When his longtime partner on the force is killed, reckless U.S. Secret Service agent Richard Chance (William L. Petersen) vows..."
The Dark Knight,Christopher Nolan,2008,94,"Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine","Dark, complex, and unforgettable, The Dark Knight succeeds not just as an entertaining comic book film, but as a richly thrilling crime saga."," With the help of allies Lt. Jim Gordon (Gary Oldman) and DA Harvey Dent (Aaron Eckhart), Batman (Christian Bale) has..."
Mission: Impossible -- Ghost Protocol,Brad Bird,2011,93,"Tom Cruise, Jeremy Renner, Simon Pegg, Paula Patton","Stylish, fast-paced, and loaded with gripping set pieces, the fourth Mission: Impossible is big-budget popcorn entertainment that really works."," Blamed for a terrorist attack on the Kremlin, Ethan Hunt (Tom Cruise) and the entire IMF agency are disavowed by..."
Fast Five,Justin Lin,2011,78,"Vin Diesel, Paul Walker, Jordana Brewster, Tyrese Gibson","Sleek, loud, and over the top, Fast Five proudly embraces its brainless action thrills and injects new life into the franchise.", Ever since ex-cop Brian O'Conner (Paul Walker) and Mia Torretto (Jordana Brewster) broke her brother Dom (Vin Diesel) out of...
Lethal Weapon,Richard Donner,1987,80,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan","The most successful installment in a phenomenally successful series, Lethal Weapon helped redefine action movies for the 1980s and 1990s."," Following the death of his wife, Los Angeles police detective Martin Riggs (Mel Gibson) becomes reckless and suicidal. When he..."
The Rock,Michael Bay,1996,67,"Sean Connery, Nicolas Cage, Ed Harris, Michael Biehn","For visceral thrills, it can't be beat. Just don't expect The Rock to engage your brain."," FBI chemical warfare expert Stanley Goodspeed (Nicolas Cage) is sent on an urgent mission with a former British spy, John..."
RoboCop,Paul Verhoeven,1987,91,"Peter Weller, Nancy Allen, Ronny Cox, Daniel O'Herlihy","While over-the-top and gory, Robocop is also a surprisingly smart sci-fi flick that uses ultraviolence to disguise its satire of American culture."," In a violent, near-apocalyptic Detroit, evil corporation Omni Consumer Products wins a contract from the city government to privatize the..."
John Wick: Chapter 2,Chad Stahelski,2017,89,"Keanu Reeves, Common, Laurence Fishburne, Riccardo Scamarcio","John Wick: Chapter 2 does what a sequel should -- which in this case means doubling down on the non-stop, thrillingly choreographed action that made its predecessor so much fun.", Retired super-assassin John Wick's plans to resume a quiet civilian life are cut short when Italian gangster Santino D'Antonio shows...
Casino Royale,Martin Campbell,2006,94,"Daniel Craig, Eva Green, Mads Mikkelsen, Judi Dench","Casino Royale disposes of the silliness and gadgetry that plagued recent James Bond outings, and Daniel Craig delivers what fans and critics have been waiting for: a caustic, haunted, intense reinvention of 007."," After receiving a license to kill, British Secret Service agent James Bond (Daniel Craig) heads to Madagascar, where he uncovers..."
Baby Driver,Edgar Wright,2017,92,"Ansel Elgort, Kevin Spacey, Lily James, Jon Bernthal","Stylish, exciting, and fueled by a killer soundtrack, Baby Driver hits the road and it's gone -- proving fast-paced action movies can be smartly written without sacrificing thrills.", Talented getaway driver Baby (Ansel Elgort) relies on the beat of his personal soundtrack to be the best in the...
Fist of Legend,Gordon Chan,1994,100,"Jet Li, Chin Siu Ho, Billy Chow, Yasuaki Kurata",No consensus yet.," Chinese martial arts student Chen Zhen (Jet Li) is studying in Kyoto, Japan, when he learns his mentor has died..."
The Killer,John Woo,1989,98,"Chow Yun-Fat, Danny Lee, Sally Yeh, Kenneth Tsang",The Killer is another hard-boiled action flick from John Woo featuring eye-popping balletic violence and philosophical underpinnings.," Mob assassin Jeffrey (Chow Yun-Fat) is no ordinary hired gun; the best in his business, he views his chosen profession..."
The Raid 2,Gareth Evans,2014,82,"Iko Uwais, Yayan Ruhian, Arifin Putra, Oka Antara","Although its high-energy plot and over-the-top violence may play better with genre aficionados, The Raid 2 definitely delivers more of everything audiences loved about its predecessor."," After surviving a bloody fight with powerful gangsters, rookie Jakarta cop Rama (Iko Uwais) thinks he can resume a normal..."
Enter the Dragon,Robert Clouse,1973,95,"Bruce Lee, John Saxon, Jim Kelly, Ahna Capri","Badass to the max, Enter the Dragon is the ultimate kung-fu movie and fitting (if untimely) Bruce Lee swan song.", Bruce Lee plays a martial-arts expert determined to help capture the narcotics dealer whose gang was responsible for the death...
Commando,Mark L. Lester,1985,67,"Arnold Schwarzenegger, Rae Dawn Chong, Dan Hedaya, Vernon Wells","The ultimate '80s Schwarzenegger movie, replete with a threadbare plot, outsized action, and endless one-liners."," Retired Special Forces soldier John Matrix (Arnold Schwarzenegger) lives with daughter Jenny (Alyssa Milano) in isolation, but his privacy is..."
First Blood,Ted Kotcheff,1982,86,"Sylvester Stallone, Richard Crenna, Brian Dennehy, David Caruso","Much darker and more sensitive than the sequels it spawned, First Blood is a thrilling survival adventure that takes full advantage of Sylvester Stallone's acting skills.", Vietnam veteran and drifter John J. Rambo (Sylvester Stallone) wanders into a small Washington town in search of an old...
Mission: Impossible Rogue Nation,Christopher McQuarrie,2015,94,"Tom Cruise, Jeremy Renner, Simon Pegg, Rebecca Ferguson",Mission: Impossible Rogue Nation continues the franchise's thrilling resurgence -- and proves that Tom Cruise remains an action star without equal.," With the IMF now disbanded and Ethan Hunt (Tom Cruise) out in the cold, a new threat -- called the..."
The Terminator,James Cameron,1984,100,"Arnold Schwarzenegger, Linda Hamilton, Michael Biehn, Paul Winfield","With its impressive action sequences, taut economic direction, and relentlessly fast pace, it's clear why The Terminator continues to be an influence on sci-fi and action flicks."," Disguised as a human, a cyborg assassin known as a Terminator (Arnold Schwarzenegger) travels from 2029 to 1984 to kill..."
Gladiator,Ridley Scott,2000,79,"Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed","While not everyone will be entertained by Gladiator's glum revenge story, Russell Crowe thunderously wins the crowd with a star-making turn that provides Ridley Scott's opulent resurrection of Rome its bruised heart."," Commodus (Joaquin Phoenix) takes power and strips rank from Maximus (Russell Crowe), one of the favored generals of his predecessor..."
Kill Bill: Vol. 1,Quentin Tarantino,2003,85,"Uma Thurman, Lucy Liu, Vivica A. Fox, Michael Madsen",Kill Bill is admittedly little more than a stylish revenge thriller -- albeit one that benefits from a wildly inventive surfeit of style.," A former assassin, known simply as The Bride (Uma Thurman), wakes from a coma four years after her jealous ex-lover..."
The Professional,Luc Besson,1994,74,"Jean Reno, Gary Oldman, Natalie Portman, Danny Aiello",Pivoting on the unusual relationship between seasoned hitman and his 12-year-old apprentice -- a breakout turn by young Natalie Portman -- Luc Besson's Léon is a stylish and oddly affecting thriller.," Mathilda (Natalie Portman) is only 12 years old, but is already familiar with the dark side of life: her abusive..."
Speed,Jan de Bont,1994,94,"Keanu Reeves, Dennis Hopper, Sandra Bullock, Joe Morton","A terrific popcorn thriller, Speed is taut, tense, and energetic, with outstanding performances from Keanu Reeves, Dennis Hopper, and Sandra Bullock.", Los Angeles police officer Jack (Keanu Reeves) angers retired bomb squad member Howard Payne (Dennis Hopper) by foiling his attempt...
Drunken Master II,Chia-Liang Liu,1994,84,"Jackie Chan, Ti Lung, Anita Mui, Kar-leung Lau",Jackie Chan sends up some amazing and entertaining fight sequences in The Legend of Drunken Master.," From a land where honor and tradition reign, comes the legend of a martial-arts hero unlike any other -- the..."
John Wick,Chad Stahelski,2014,86,"Keanu Reeves, Michael Nyqvist, Alfie Allen, Willem Dafoe","Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.", Legendary assassin John Wick (Keanu Reeves) retired from his violent career after marrying the love of his life. Her sudden...
